id,title,Pinterest board,description,link,image_link,availability,condition,price,sale_price,brand,google_product_category,additional_image_link,age_group,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,product_type,item_group_id,gender
195230,"Mary Meyer Crinkle Teether Toy with Baby Paper and Squeaker, 6 x 6-Inches, Little But Fierce Leopard",Best Other Products,"Explore Mary Meyer Crinkle Teether Toy with Baby Paper and Squeaker, 6 x 6-Inches, Little But Fierce Leopard in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/81tR4p7pYhL._AC_UL320_.jpg,in stock,new,12.99 USD,12.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/81tR4p7pYhL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195230,unisex
195231,"Smart Steps by Baby Trend STEM Counting Crab, Multicolor",Best Other Products,"Explore Smart Steps by Baby Trend STEM Counting Crab, Multicolor in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/71pv0cNPc+L._AC_UL320_.jpg,in stock,new,24.99 USD,24.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/71pv0cNPc+L._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195231,unisex
195232,"Mini Porcupine Balls Multicolor Hedge Balls for Teens Adults Spiky Colorful Balls Fidget Toys for Teens, Birthday Party Favors (40 Pieces)",Best Other Products,"Explore Mini Porcupine Balls Multicolor Hedge Balls for Teens Adults Spiky Colorful Balls Fidget Toys for Teens, Birthday Party Favors (40 Pieces) in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/81lyPDr2hvL._AC_UL320_.jpg,in stock,new,10.99 USD,10.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/81lyPDr2hvL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195232,unisex
195233,"SIRELI Set of 4 Baby Teething Toys,100% Food Grade Silicone, BPA Free, 6-12 Months Toy, Baby Boy Girl Gift Set, Travel Toy, Soothing Teether Set, Never Drop Glove Teether, Stacking Toy, Multicolor",Best Other Products,"Explore SIRELI Set of 4 Baby Teething Toys,100% Food Grade Silicone, BPA Free, 6-12 Months Toy, Baby Boy Girl Gift Set, Travel Toy, Soothing Teether Set, Never Drop Glove Teether, Stacking Toy, Multicolor in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/81UD2Z5FfXL._AC_UL320_.jpg,in stock,new,19.95 USD,19.95 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/81UD2Z5FfXL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195233,unisex
195234,"Scuwtocn Silicone Phone Teether for Baby Teething Toys for Baby 6-12 Months, Teething Toys for Babies 0-6 Months - Toddler Pretend Play Phone Chew Baby Toys - Pink",Best Mobiles Products,"Explore Scuwtocn Silicone Phone Teether for Baby Teething Toys for Baby 6-12 Months, Teething Toys for Babies 0-6 Months - Toddler Pretend Play Phone Chew Baby Toys - Pink in the mobiles category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/mobiles/page113.html,https://m.media-amazon.com/images/I/71Zi6alSYxL._AC_UL320_.jpg,in stock,new,8.99 USD,8.99 USD,TechPickHub,Electronics > Communications > Telephony > Mobile Phones,https://m.media-amazon.com/images/I/71Zi6alSYxL._AC_UL320_.jpg,adult,mobiles,best-seller,amazon-products,techpickhub,shopping,mobiles,195234,unisex
195235,"Aolso 2PCS Baby Teether Toys Silicone, Remote Control Shape Teething Toys and Phone Shaped Teether for Baby with 2PCS Pacifier Clip, Silicone Baby Teething Toys for 3 Months+, BPA Free (Black)",Best Mobiles Products,"Explore Aolso 2PCS Baby Teether Toys Silicone, Remote Control Shape Teething Toys and Phone Shaped Teether for Baby with 2PCS Pacifier Clip, Silicone Baby Teething Toys for 3 Months+, BPA Free (Black) in the mobiles category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/mobiles/page113.html,https://m.media-amazon.com/images/I/719tJbZV2IL._AC_UL320_.jpg,in stock,new,8.59 USD,8.59 USD,TechPickHub,Electronics > Communications > Telephony > Mobile Phones,https://m.media-amazon.com/images/I/719tJbZV2IL._AC_UL320_.jpg,adult,mobiles,best-seller,amazon-products,techpickhub,shopping,mobiles,195235,unisex
195236,Nuby Purple Squid Squirter Interactive Fun Bath Time Toy,Best Other Products,"Explore Nuby Purple Squid Squirter Interactive Fun Bath Time Toy in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/71zoxelu-pL._AC_UL320_.jpg,in stock,new,7.99 USD,7.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/71zoxelu-pL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195236,unisex
195237,Toddmomy 2Pcs Kids Watering Can Bath Water Can Flower Watering Can Kids Bath Toys Beach Toys Play Sand Toys for Home Outdoor,Best Pc Products,"Explore Toddmomy 2Pcs Kids Watering Can Bath Water Can Flower Watering Can Kids Bath Toys Beach Toys Play Sand Toys for Home Outdoor in the pc category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/pc/page140.html,https://m.media-amazon.com/images/I/51PjYLzmgdL._AC_UL320_.jpg,in stock,new,10.69 USD,10.69 USD,TechPickHub,Electronics > Computers,https://m.media-amazon.com/images/I/51PjYLzmgdL._AC_UL320_.jpg,adult,pc,best-seller,amazon-products,techpickhub,shopping,pc,195237,unisex
195238,"Honoson Rubber Frog Bath Toy Bulk Mini Frog Toys Frog Bathtub Toys Float Squeak Toys for Summer Pool Baby Shower Halloween Christmas Party Birthday Decoration, 2.2 x 2 x 1.6 Inches (150)",Best Other Products,"Explore Honoson Rubber Frog Bath Toy Bulk Mini Frog Toys Frog Bathtub Toys Float Squeak Toys for Summer Pool Baby Shower Halloween Christmas Party Birthday Decoration, 2.2 x 2 x 1.6 Inches (150) in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/71JHdBuo2pL._AC_UL320_.jpg,in stock,new,33.99 USD,33.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/71JHdBuo2pL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195238,unisex
195239,"Battat – Toy Vacuum Cleaner for Toddlers, Kids – Lights & Sounds Play Vacuum – Musical Vacuum Toy with 2 Songs – Clean n' Sing Vacuum – 2 Years +",Best Other Products,"Explore Battat – Toy Vacuum Cleaner for Toddlers, Kids – Lights & Sounds Play Vacuum – Musical Vacuum Toy with 2 Songs – Clean n' Sing Vacuum – 2 Years + in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/81VzyL5A74L._AC_UL320_.jpg,in stock,new,24.95 USD,24.95 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/81VzyL5A74L._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195239,unisex
